slug,url,item_date,item_type,title,topics,is_rural,reduced_sha256,full_page_sha256,full_page_bytes,first_indexed
cms-proposes-major-reforms-speed-up-patient-access-drugs-increase-transparency-reduce-administrative,https://www.cms.gov/newsroom/press-releases/cms-proposes-major-reforms-speed-up-patient-access-drugs-increase-transparency-reduce-administrative,2026-04-10,Press Releases,"CMS Proposes Major Reforms to Speed Up Patient Access to Drugs, Increase Transparency, and Reduce Administrative Burden",Administration,FALSE,,d55730dd66a734f2ca8a38cb999009cb1fc9d590639f23aeda7a72095adad017,57435,2026-08-28
fy-2027-hospital-inpatient-prospective-payment-system-ipps-long-term-care-hospital-prospective,https://www.cms.gov/newsroom/fact-sheets/fy-2027-hospital-inpatient-prospective-payment-system-ipps-long-term-care-hospital-prospective,2026-04-10,Fact Sheets,FY 2027 Hospital Inpatient Prospective Payment System (IPPS) and Long-Term Care Hospital Prospective Payment System (LTCH PPS) Proposed Rule — CMS-1849-P,Administration; Innovation models; Payment Rules,FALSE,,39eda886f349b3fa406d2b27a13a8d563ddeb851f2f25774ce6abb64dab1bd44,70158,2026-08-28
cms-launches-first-wave-healthtech-ecosystem-tools-fast-tracking-fully-digital-patient-centered,https://www.cms.gov/newsroom/press-releases/cms-launches-first-wave-healthtech-ecosystem-tools-fast-tracking-fully-digital-patient-centered,2026-04-09,Press Releases,"CMS Launches First Wave of HealthTech Ecosystem Tools, Fast‑Tracking a Fully Digital, Patient‑Centered Health System",Administration; Initiatives,FALSE,,ac01bee8ac9efcd0d2548d9b99a7d6ab0f2fb7deeebff5aab371e5f8a3d59fca,54680,2026-08-28
cms-issues-guidance-implement-new-limits-federal-medicaid-chip-funding-certain-noncitizens,https://www.cms.gov/newsroom/press-releases/cms-issues-guidance-implement-new-limits-federal-medicaid-chip-funding-certain-noncitizens,2026-04-08,Press Releases,CMS Issues Guidance to Implement New Limits on Federal Medicaid and CHIP Funding for Certain Noncitizens,Administration; Coverage; Medicaid & CHIP,FALSE,,f26ecb6c6d9db13e67abfef4751f8282470ae334b2a1ec81d38c298281ba15a1,52522,2026-08-28
2027-medicare-advantage-part-d-rate-announcement,https://www.cms.gov/newsroom/fact-sheets/2027-medicare-advantage-part-d-rate-announcement,2026-04-06,Fact Sheets,2027 Medicare Advantage and Part D Rate Announcement,Administration; Medicare Part C; Medicare Part D,FALSE,,8ad960754c4126b749fe8bf640fc0fba9352a48dcb45b6fa2aa60e1a6058bf18,62693,2026-08-28
cms-finalizes-2027-medicare-advantage-part-d-payment-policies-strengthen-accountability-long-term,https://www.cms.gov/newsroom/press-releases/cms-finalizes-2027-medicare-advantage-part-d-payment-policies-strengthen-accountability-long-term,2026-04-06,Press Releases,CMS Finalizes 2027 Medicare Advantage and Part D Payment Policies that Strengthen Accountability and Long-Term Sustainability,Administration; Medicare Part C; Medicare Part D,FALSE,,bf2b7864f5188dfb315ee2f30de96049afc39787a12f16100660be157bdee03d,57892,2026-08-28
contract-year-2027-medicare-advantage-part-d-final-rule,https://www.cms.gov/newsroom/fact-sheets/contract-year-2027-medicare-advantage-part-d-final-rule,2026-04-02,Fact Sheets,Contract Year 2027 Medicare Advantage and Part D Final Rule,Administration; Medicare Part C; Medicare Part D,FALSE,,3a1aee86706d37ada3fb211caa4681261c4183d09661d3b40a2a094407e919dd,56992,2026-08-28
fiscal-year-2027-inpatient-rehabilitation-facility-prospective-payment-system-proposed-rule-cms-1845,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2027-inpatient-rehabilitation-facility-prospective-payment-system-proposed-rule-cms-1845,2026-04-02,Fact Sheets,Fiscal Year 2027 Inpatient Rehabilitation Facility Prospective Payment System Proposed Rule (CMS-1845-P),Administration; Medicare Parts A & B,FALSE,,51172f355d2f240a5dc1c8508a9a267ad856427bff0ad1ed0804c4b627ca6066,57752,2026-08-28
fiscal-year-2027-medicare-inpatient-psychiatric-facility-prospective-payment-system-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2027-medicare-inpatient-psychiatric-facility-prospective-payment-system-proposed-rule,2026-04-02,Fact Sheets,Fiscal Year 2027 Medicare Inpatient Psychiatric Facility Prospective Payment System Proposed Rule (CMS-1847-P),Administration; Medicare Parts A & B,FALSE,,1b4665d5e4037dca3b0de14725c73846b9fddf7b7294bec45f4f38f9cf7069d5,58581,2026-08-28
fiscal-year-fy-2027-hospice-wage-index-payment-rate-update-hospice-quality-reporting-program,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-fy-2027-hospice-wage-index-payment-rate-update-hospice-quality-reporting-program,2026-04-02,Fact Sheets,Fiscal Year (FY) 2027 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Program Requirements Proposed Rule (CMS-1851-P),"Administration; Fraud, waste, & abuse; Hospices",FALSE,,d597149a04239b735282b61a696b059ceda04ef13fe24896bffb30a347c970a6,62082,2026-08-28
fiscal-year-fy-2027-skilled-nursing-facility-prospective-payment-system-proposed-rule-cms-1843-p,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-fy-2027-skilled-nursing-facility-prospective-payment-system-proposed-rule-cms-1843-p,2026-04-02,Fact Sheets,Fiscal Year (FY) 2027 Skilled Nursing Facility Prospective Payment System Proposed Rule (CMS 1843-P),Administration; Medicare Parts A & B; Nursing facilities,FALSE,,d836987698b246d3b252d1f0ab303786a85127c31867cba73ebab6d90aba7001,56466,2026-08-28
medicare-beneficiaries-see-simpler-more-flexible-plan-choices-better-drug-coverage-higher-quality,https://www.cms.gov/newsroom/press-releases/medicare-beneficiaries-see-simpler-more-flexible-plan-choices-better-drug-coverage-higher-quality,2026-04-02,Press Releases,"Medicare Beneficiaries to See Simpler and More Flexible Plan Choices, Better Drug Coverage, Higher Quality and Lower Costs in 2027",Administration; Medicare Part C; Medicare Part D,FALSE,,e7bf95cc791db5cb07499e94c39fea939c57d1bb61d3255062dff380ce3ddc47,56316,2026-08-28
cms-marks-milestone-expanding-patient-centered-innovation-substance-access-beneficiary-engagement,https://www.cms.gov/newsroom/press-releases/cms-marks-milestone-expanding-patient-centered-innovation-substance-access-beneficiary-engagement,2026-04-01,Press Releases,CMS Marks Milestone in Expanding Patient-Centered Innovation with Substance Access Beneficiary Engagement Incentive,Administration; Innovation models,FALSE,,2dc6d4ad981a26a22c3242d684c840d573b5b0abc183ace73d948a1bfa24e5b5,57532,2026-08-28
exchange-coverage-remains-near-record-high-23-1-million-enroll-2026-reflecting-continued-strength,https://www.cms.gov/newsroom/press-releases/exchange-coverage-remains-near-record-high-23-1-million-enroll-2026-reflecting-continued-strength,2026-03-27,Press Releases,"Exchange Coverage Remains Near Record High as 23.1 Million Enroll in 2026, Reflecting Continued Strength and Stability",Affordable Care Act; Marketplace,FALSE,,9f61b6dcfe8246b8022c81cd99d9c477734499d0b4b3908c66896dc75158ae0c,54485,2026-08-28
hhs-cms-announce-healthcare-advisory-committee-members-improve-patient-care-modernize-u-s-healthcare,https://www.cms.gov/newsroom/press-releases/hhs-cms-announce-healthcare-advisory-committee-members-improve-patient-care-modernize-u-s-healthcare,2026-03-26,Press Releases,HHS and CMS Announce Healthcare Advisory Committee Members to Improve Patient Care and Modernize the U.S. Healthcare System,Administration,FALSE,,8ff88d15fd1ff530aac7fe8b10a54289ff15d4561d452a5680fb82d6acb9833f,55820,2026-08-28
administrative-simplification-adoption-standards-health-care-claims-attachments-transactions,https://www.cms.gov/newsroom/fact-sheets/administrative-simplification-adoption-standards-health-care-claims-attachments-transactions,2026-03-20,Fact Sheets,Administrative Simplification; Adoption of Standards for Health Care Claims Attachments Transactions and Electronic Signatures Final Rule CMS-0053-F,Administration,FALSE,,426d19d6ab3931cf4b0d1b853ee7d4bf6bcaf763b67eeeea5aceefdb097a1296,59156,2026-08-28
cms-rule-phases-out-fax-machines-snail-mail-save-taxpayers-781-98-million-year,https://www.cms.gov/newsroom/press-releases/cms-rule-phases-out-fax-machines-snail-mail-save-taxpayers-781-98-million-year,2026-03-20,Press Releases,"CMS Rule Phases Out Fax Machines, Snail Mail to Save Taxpayers $781.98 Million a Year",Administration,FALSE,,4e4fb9e27dc09da5ce2e5881656f4749cf54374de66e27de1038548a4c80b442,54686,2026-08-28
readout-cms-convenes-first-rural-health-transformation-summit-advance-state-led-innovation,https://www.cms.gov/newsroom/press-releases/readout-cms-convenes-first-rural-health-transformation-summit-advance-state-led-innovation,2026-03-19,Press Releases,Readout: CMS Convenes First Rural Health Transformation Summit to Advance State-Led Innovation,Rural health,TRUE,f3195dee0641b2eb7929c4b43f20115294fb2258f33e36bf0666d8ea4d60b3ce,c466d0f8834ab0e48774e228ee80ff92fe9a77d3f1166870e5e12841301d4fc4,55479,2026-08-28
acute-hospital-care-home-data-release-fact-sheet-0,https://www.cms.gov/newsroom/fact-sheets/acute-hospital-care-home-data-release-fact-sheet-0,2026-03-17,Fact Sheets,Acute Hospital Care at Home Data Release Fact Sheet,Data; Quality,FALSE,,c83aab2bbcfaae1b085b91f99c5f1adee20dd8f9dd1bda20d8c50274051a1665,53425,2026-08-28
cms-announces-manufacturer-participation-third-cycle-medicare-drug-price-negotiation,https://www.cms.gov/newsroom/fact-sheets/cms-announces-manufacturer-participation-third-cycle-medicare-drug-price-negotiation,2026-03-13,Fact Sheets,CMS Announces Manufacturer Participation in Third Cycle of Medicare Drug Price Negotiation,Administration,FALSE,,b7f88b2d88066a4405d2821f7649e180bf5c069c3de4c5526d3e0e4fe50bcd64,58118,2026-08-28
cms-strengthens-patient-protections-accountability-organ-donation-system,https://www.cms.gov/newsroom/press-releases/cms-strengthens-patient-protections-accountability-organ-donation-system,2026-03-11,Press Releases,CMS Strengthens Patient Protections and Accountability in Organ Donation System,Administration; Safety,FALSE,,a624d1278195ebca66aeecdc935cad9acf1e5a2b0301cee0042042ec41a77fe7,58302,2026-08-28
optimal-health-all-within-nations-health-long-term-care-systems-ccsq-fy2025-2028-strategic-roadmap,https://www.cms.gov/newsroom/blog/optimal-health-all-within-nations-health-long-term-care-systems-ccsq-fy2025-2028-strategic-roadmap,2026-03-11,Blog,Optimal Health for All Within Nation’s Health and Long-Term Care Systems: CCSQ FY2025–2028 Strategic Roadmap,Administration,FALSE,,77b143e12f0a3d36fb061b9a21d00f8ca30e53f224d1c6fed1343e139cfc9661,61202,2026-08-28
medicare-gov-enhanced-log,https://www.cms.gov/newsroom/fact-sheets/medicare-gov-enhanced-log,2026-03-03,Fact Sheets,Medicare.gov Enhanced Log In,Administration,FALSE,,39c3900290de791a63b89f7d5119ac99f093151d1561e2731f85b8a0c5c4f8a3,53001,2026-08-28
cms-lower-drug-costs-improve-care-extending-deadline-generous-model-application,https://www.cms.gov/newsroom/press-releases/cms-lower-drug-costs-improve-care-extending-deadline-generous-model-application,2026-03-02,Press Releases,CMS to Lower Drug Costs and Improve Care by Extending Deadline for GENEROUS Model Application,Administration; Drug Prices; Innovation models,FALSE,,4b47c9adf640a1ce1d4cb5f8be2b28281225aed0321ebc22803d5a4e10847d4b,53852,2026-08-28
trump-administration-prioritizes-affordability-announcing-major-crackdown-health-care-fraud,https://www.cms.gov/newsroom/press-releases/trump-administration-prioritizes-affordability-announcing-major-crackdown-health-care-fraud,2026-02-25,Press Releases,Trump Administration Prioritizes Affordability by Announcing Major Crackdown on Health Care Fraud,"DMEPOS suppliers; Fraud, waste, & abuse; Medicaid & CHIP",FALSE,,4f136e48fafa1a2ac1d01d284dd22025aebc3075a678fcaead02c8c458db7b4d,61780,2026-08-28
cms-proposes-regulations-lower-health-care-costs-expand-consumer-choice-protect-taxpayers,https://www.cms.gov/newsroom/press-releases/cms-proposes-regulations-lower-health-care-costs-expand-consumer-choice-protect-taxpayers,2026-02-09,Press Releases,"CMS Proposes Regulations to Lower Health Care Costs, Expand Consumer Choice, and Protect Taxpayers",Administration; Marketplace; Payment Rules,FALSE,,cbb25480aa775c1e1cf80cdb604179fc23c96552fb7e79cde725cd7ffaa7eea7,56939,2026-08-28
hhs-notice-benefit-payment-parameters-2027-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/hhs-notice-benefit-payment-parameters-2027-proposed-rule,2026-02-09,Fact Sheets,HHS Notice of Benefit and Payment Parameters for 2027 Proposed Rule,Administration; Marketplace; Payment Rules,FALSE,,62da04b7814e43071967d75b8380f57f9e663fa616af1883afbf4bd30679ca44,82271,2026-08-28
2026-medicare-accountable-care-organization-initiatives-participation-highlights,https://www.cms.gov/newsroom/fact-sheets/2026-medicare-accountable-care-organization-initiatives-participation-highlights,2026-02-04,Fact Sheets,2026 Medicare Accountable Care Organization Initiatives Participation Highlights,Accountable Care Organizations (ACOs); Administration,FALSE,,24ba4a7751e5e97dc74ff6286725989f82dbf26f5dd6197d11484d1374475909,59869,2026-08-28
cms-shuts-down-massive-medicaid-tax-loophole-saving-billions-federal-taxpayers-restoring-federal,https://www.cms.gov/newsroom/press-releases/cms-shuts-down-massive-medicaid-tax-loophole-saving-billions-federal-taxpayers-restoring-federal,2026-01-29,Press Releases,"CMS Shuts Down Massive Medicaid Tax Loophole, Saving Billions for Federal Taxpayers and Restoring the Federal-State Partnership",Medicaid & CHIP,FALSE,,56e2c5a5d23b0ffca506dc41832c1ff09c8dee9643ca1d216fa62a12adfacce1,57764,2026-08-28
fact-sheet-pledges-medicaid-technology-companies-support-community-engagement-implementation-related,https://www.cms.gov/newsroom/fact-sheets/fact-sheet-pledges-medicaid-technology-companies-support-community-engagement-implementation-related,2026-01-29,Fact Sheets,Fact Sheet: Pledges from Medicaid Technology Companies to Support Community Engagement Implementation and Related Medicaid System Improvements,Eligibility & enrollment; Medicaid & CHIP,FALSE,,d89c12f2030390ce70ed6bc47c1852f9555bbf8faa69aef45a163bbab4159f82,74838,2026-08-28
medicaid-technology-companies-pledge-600m-savings-support-community-engagement-related-state,https://www.cms.gov/newsroom/press-releases/medicaid-technology-companies-pledge-600m-savings-support-community-engagement-related-state,2026-01-29,Press Releases,Medicaid Technology Companies Pledge $600M in Savings to Support Community Engagement and Related State Medicaid System Improvements,Eligibility & enrollment; Medicaid & CHIP,FALSE,,8a5e9781bf7d5d42a9ff8d4e45f3b7a2ecfbdf0f13525b294d8454ed54d1b1ed,58115,2026-08-28
preserving-medicaid-funding-vulnerable-populations-closing-health-care-related-tax-loophole-final,https://www.cms.gov/newsroom/fact-sheets/preserving-medicaid-funding-vulnerable-populations-closing-health-care-related-tax-loophole-final,2026-01-29,Fact Sheets,Preserving Medicaid Funding for Vulnerable Populations – Closing a Health Care-Related Tax Loophole Final Rule,Medicaid & CHIP,FALSE,,b4ec363815f407bfbfe22fc4c9ba15af4de2bf41131389afca3729bf89b80a0f,56309,2026-08-28
cms-actions-protect-consumers-strengthen-exchange-program-integrity,https://www.cms.gov/newsroom/fact-sheets/cms-actions-protect-consumers-strengthen-exchange-program-integrity,2026-01-28,Fact Sheets,CMS Actions to Protect Consumers and Strengthen Exchange Program Integrity,Affordable Care Act; Marketplace,FALSE,,33758da73006c6cd37530aacc9074a7b22e1c3b410b2c4f6dd6e134422d40699,71249,2026-08-28
cms-proposes-rule-strengthen-oversight-organ-procurement-organizations-protect-patients,https://www.cms.gov/newsroom/press-releases/cms-proposes-rule-strengthen-oversight-organ-procurement-organizations-protect-patients,2026-01-28,Press Releases,CMS Proposes Rule to Strengthen Oversight of Organ Procurement Organizations and Protect Patients,Administration; Safety,FALSE,,1b6a16ee0feac886107a95bda362e8a98a039141e580c6eb43136d1d46bef3ca,56860,2026-08-28
marketplace-2026-open-enrollment-period-report-national-snapshot-2,https://www.cms.gov/newsroom/fact-sheets/marketplace-2026-open-enrollment-period-report-national-snapshot-2,2026-01-28,Fact Sheets,Marketplace 2026 Open Enrollment Period Report: National Snapshot,Affordable Care Act; Marketplace,FALSE,,283948259076a33d2fc8dddf2c3e5f466fc9bbc4593e7da7144e4a2c491cb5b3,67854,2026-08-28
organ-procurement-organizations-opos-conditions-coverage-revisions-cms-3409-p-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/organ-procurement-organizations-opos-conditions-coverage-revisions-cms-3409-p-proposed-rule,2026-01-28,Fact Sheets,Organ Procurement Organizations (OPOs) Conditions for Coverage Revisions CMS-3409-P Proposed Rule,Safety,FALSE,,d3509a42a86217d232cccd36741c01daa93ccea3abf2da5b28661a8876f9a976,60873,2026-08-28
cms-announces-selection-drugs-third-cycle-medicare-drug-price-negotiation-program-including-first,https://www.cms.gov/newsroom/press-releases/cms-announces-selection-drugs-third-cycle-medicare-drug-price-negotiation-program-including-first,2026-01-27,Press Releases,"CMS Announces Selection of Drugs for Third Cycle of Medicare Drug Price Negotiation Program, Including First-Ever Part B Drugs",Administration; Drug Prices,FALSE,,eb43cb1056c43b98c2f657c534be24df1d4971944a9f1d3188502b835b00c2aa,56913,2026-08-28
2027-medicare-advantage-part-d-advance-notice,https://www.cms.gov/newsroom/fact-sheets/2027-medicare-advantage-part-d-advance-notice,2026-01-26,Fact Sheets,2027 Medicare Advantage and Part D Advance Notice,Medicare Advantage (MA); Medicare Part C; Medicare Part D; Policy,FALSE,,f96eeb149afc320e64273a061f40c10e921d8e39d7fc3ca020fa6384c6e90d0a,59714,2026-08-28
cms-proposes-2027-medicare-advantage-part-d-payment-policies-improve-payment-accuracy-sustainability,https://www.cms.gov/newsroom/press-releases/cms-proposes-2027-medicare-advantage-part-d-payment-policies-improve-payment-accuracy-sustainability,2026-01-26,Press Releases,CMS Proposes 2027 Medicare Advantage and Part D Payment Policies to Improve Payment Accuracy and Sustainability,Medicare Advantage (MA); Medicare Part C; Medicare Part D; Policy,FALSE,,4a112fee4e94ecdb2dba449a72cdf77da677a94f14e4863a0576097687c4174e,54545,2026-08-28
cms-seeks-public-input-strengthening-domestic-supply-chain-ppe-essential-medicines,https://www.cms.gov/newsroom/press-releases/cms-seeks-public-input-strengthening-domestic-supply-chain-ppe-essential-medicines,2026-01-26,Press Releases,"CMS Seeks Public Input on Strengthening Domestic Supply Chain for PPE, Essential Medicines",Administration,FALSE,,0af7cf0985c6c752558de8c31b78bc4b9efd8dc257564896885705c3ee395e14,52521,2026-08-28
fiscal-year-2025-improper-payments-fact-sheet,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2025-improper-payments-fact-sheet,2026-01-15,Fact Sheets,Fiscal Year 2025 Improper Payments Fact Sheet,Administration,FALSE,,0ae17d2b25136e3d69d19aa55af353584fa79b2864a05c95441ae40e67b620ef,56749,2026-08-28
marketplace-2026-open-enrollment-period-report-national-snapshot-0,https://www.cms.gov/newsroom/fact-sheets/marketplace-2026-open-enrollment-period-report-national-snapshot-0,2026-01-12,Fact Sheets,Marketplace 2026 Open Enrollment Period Report: National Snapshot,Affordable Care Act; Marketplace,FALSE,,d0af5b5ea3f97ca12d2f68734415b1f6676789cf02b7d9fcf98080e94e5f2ade,69253,2026-08-28
cms-announces-new-provider-organ-procurement-services-south-florida,https://www.cms.gov/newsroom/press-releases/cms-announces-new-provider-organ-procurement-services-south-florida,2026-01-08,Press Releases,CMS Announces New Provider of Organ Procurement Services in South Florida,Safety,FALSE,,92167d9968ca7dbbd4c082217e2717f664f909ef16eb21329e3b825d8c3bc163,55884,2026-08-28
cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2025-12-29,Press Releases,CMS Announces $50 Billion in Awards to Strengthen Rural Health in All 50 States,Rural health,TRUE,5d18eab8c9fcac96c97500eae6bb13fa6586e9bec440b4d9577c34f7f1350c14,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,66700,2026-08-28
cms-announces-establishment-office-rural-health-transformation,https://www.cms.gov/newsroom/press-releases/cms-announces-establishment-office-rural-health-transformation,2025-12-29,Press Releases,CMS Announces Establishment of the Office of Rural Health Transformation,Rural health,TRUE,99234ab91b174324b42dfa1c1b798159b00f57b1595889d801416020c55e38b2,2cbb7cddf842f477f2aa372102edbc6f466108978f1ce9471896fc30e847bad7,54813,2026-08-28
upcoming-update-final-local-coverage-determinations-lcds-certain-skin-substitutes,https://www.cms.gov/newsroom/fact-sheets/upcoming-update-final-local-coverage-determinations-lcds-certain-skin-substitutes,2025-12-24,Fact Sheets,Final Local Coverage Determinations (LCDs) for Certain Skin Substitutes Withdrawn,Coverage,FALSE,,3d97a894dae6c829b53034e73af5eaf3a362fe916557a8d5f188aa24aa6efcd3,53680,2026-08-28
cms-launches-voluntary-model-expand-access-life-changing-medicines-promote-healthier-living,https://www.cms.gov/newsroom/press-releases/cms-launches-voluntary-model-expand-access-life-changing-medicines-promote-healthier-living,2025-12-23,Press Releases,"CMS Launches Voluntary Model to Expand Access to Life-Changing Medicines, Promote Healthier Living",Administration,FALSE,,fee2bd3e84d06bf8370ea5ddc13e26bc27a04aa7291aa7c613cf2162651254cb,55213,2026-08-28
cms-proposes-new-mandatory-globe-model,https://www.cms.gov/newsroom/press-releases/cms-proposes-new-mandatory-globe-model,2025-12-21,Press Releases,CMS Proposes New Mandatory GLOBE Model,Administration,FALSE,,11507e688600169e93ad6b087d898b379d422379ba7e332b1722ee9fbe4371c6,53815,2026-08-28
cms-proposes-new-mandatory-guard-model,https://www.cms.gov/newsroom/press-releases/cms-proposes-new-mandatory-guard-model,2025-12-21,Press Releases,CMS Proposes New Mandatory GUARD Model,Administration,FALSE,,7eea2d4ad7359f9c1b41f457deeb9fa9f22b458809b63b9a5bdbafeb4d6fe854,53640,2026-08-28
improving-access-technology-supported-care-outcome-aligned-payments,https://www.cms.gov/newsroom/blog/improving-access-technology-supported-care-outcome-aligned-payments,2025-12-19,Blog,Improving ACCESS to Technology-Supported Care with Outcome-Aligned Payments,Administration,FALSE,,878b5c318693721799f1836a3ae04541e1a85907f64000ea3980c1b8c117da86,56115,2026-08-28
transparency-coverage-proposed-rule-cms-9882-p,https://www.cms.gov/newsroom/fact-sheets/transparency-coverage-proposed-rule-cms-9882-p,2025-12-19,Fact Sheets,Transparency in Coverage Proposed Rule (CMS 9882-P),Affordable Care Act; Marketplace,FALSE,,2670f62dfcbbe9a128d1f4eae358abe1eee3bbc2658e2f30905e065889993061,65312,2026-08-28
trump-administration-proposes-significant-updates-disclosure-requirements-make-health-care-prices,https://www.cms.gov/newsroom/press-releases/trump-administration-proposes-significant-updates-disclosure-requirements-make-health-care-prices,2025-12-19,Press Releases,"Trump Administration Proposes Significant Updates to Disclosure Requirements to Make Health Care Prices Clear, Accurate, and Actionable for Americans",Affordable Care Act; Marketplace,FALSE,,33be2067185a8c4a72694bf473b484b79021d4e5755678021e99ce04ae8e3b92,60686,2026-08-28
hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children,https://www.cms.gov/newsroom/press-releases/hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children,2025-12-18,Press Releases,HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children,Administration; Hospitals; Medicaid & CHIP,FALSE,,12a0fa1453abb5b949e1a9f0975b4b73589d73dd60fdb7209b59ebc34499f117,56634,2026-08-28
cms-issues-new-state-guidance-transformative-medicaid-reforms,https://www.cms.gov/newsroom/press-releases/cms-issues-new-state-guidance-transformative-medicaid-reforms,2025-12-08,Press Releases,CMS Issues New State Guidance on Transformative Medicaid Reforms,Medicaid & CHIP,FALSE,,ede74f32da44cf6aaa48fba632cc3e5f31a5d1610d6f21f7172a0b8cd1c127a8,53383,2026-08-28
marketplace-2026-open-enrollment-period-report-national-snapshot,https://www.cms.gov/newsroom/fact-sheets/marketplace-2026-open-enrollment-period-report-national-snapshot,2025-12-05,Fact Sheets,Marketplace 2026 Open Enrollment Period Report: National Snapshot,Affordable Care Act,FALSE,,bdad5db6964f97103d06618a62ceb7835f47b8784cdaf03b980b0e48e25c83a9,70733,2026-08-28
readout-cms-convenes-leaders-across-government-clinician-societies-digital-health-industry-discuss,https://www.cms.gov/newsroom/press-releases/readout-cms-convenes-leaders-across-government-clinician-societies-digital-health-industry-discuss,2025-12-05,Press Releases,"Readout: CMS Convenes Leaders Across Government, Clinician Societies, Digital Health Industry to Discuss Innovation Center ACCESS Model",Administration,FALSE,,48d87f014e9bf21b0a0183b03379052857a80746097736a20b2992dfc9592e79,55607,2026-08-28
calendar-year-cy-2026-home-health-prospective-payment-system-final-rule-cms-1828-f,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2026-home-health-prospective-payment-system-final-rule-cms-1828-f,2025-11-28,Fact Sheets,Calendar Year (CY) 2026 Home Health Prospective Payment System Final Rule (CMS-1828-F),Administration,FALSE,,2aca7c5c67d83e53f296bcc602b0f93d8e0d3d6286a03861876e5054d06d3367,70423,2026-08-28
durable-medical-equipment-prosthetics-orthotics-supplies-competitive-bidding-program-updates,https://www.cms.gov/newsroom/fact-sheets/durable-medical-equipment-prosthetics-orthotics-supplies-competitive-bidding-program-updates,2025-11-28,Fact Sheets,"Durable Medical Equipment, Prosthetics, Orthotics, and Supplies Competitive Bidding Program – Updates and Important Information",Administration,FALSE,,f4ca25675c6f700f3911e273f0a77a655ef19ecd95379219678c0925151cab13,70170,2026-08-28
cms-delivers-savings-seniors-15-major-drugs-cancer-chronic-disease,https://www.cms.gov/newsroom/press-releases/cms-delivers-savings-seniors-15-major-drugs-cancer-chronic-disease,2025-11-25,Press Releases,CMS Delivers Savings for Seniors on 15 Major Drugs for Cancer and Chronic Disease,Administration,FALSE,,a41f383e556acee11a3a10b8c270d78971b0fecc1fb25e9ad86180722debe48b,55595,2026-08-28
cms-proposes-new-policies-strengthen-quality-access-competition-medicare-advantage-part-d,https://www.cms.gov/newsroom/press-releases/cms-proposes-new-policies-strengthen-quality-access-competition-medicare-advantage-part-d,2025-11-25,Press Releases,"CMS Proposes New Policies to Strengthen Quality, Access and Competition in Medicare Advantage and Part D",Administration,FALSE,,af157c86cbd9710f5343e04abfed4cc3d8c2892b58a875fa27bb8e3130c26d30,54393,2026-08-28
contract-year-2027-medicare-advantage-part-d-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/contract-year-2027-medicare-advantage-part-d-proposed-rule,2025-11-25,Fact Sheets,Contract Year 2027 Medicare Advantage and Part D Proposed Rule,Administration,FALSE,,d39771ea4e570c8397eded0a60a51668daac7b4608684b32d7b52015e11c7faa,60553,2026-08-28
calendar-year-2026-hospital-outpatient-prospective-payment-system-opps-ambulatory-surgical-center,https://www.cms.gov/newsroom/fact-sheets/calendar-year-2026-hospital-outpatient-prospective-payment-system-opps-ambulatory-surgical-center,2025-11-21,Fact Sheets,Calendar Year 2026 Hospital Outpatient Prospective Payment System (OPPS) and Ambulatory Surgical Center Final Rule (CMS-1834-FC),Payment Rules,FALSE,,c9a394bae4c21f8f21f20b52e9efa8772499c13c2a30c2d67d33914ee347483b,92148,2026-08-28
cms-empowers-patients-boosts-transparency-modernizing-hospital-payments,https://www.cms.gov/newsroom/press-releases/cms-empowers-patients-boosts-transparency-modernizing-hospital-payments,2025-11-21,Press Releases,CMS Empowers Patients and Boosts Transparency by Modernizing Hospital Payments,Payment Rules,FALSE,,2822a17fd410233f21c53e9a84884e1fd03b1df27f6b3c9f16393c21c9fda9b8,55044,2026-08-28
cy-2026-opps-ambulatory-surgical-center-final-rule-hospital-price-transparency-policy-changes,https://www.cms.gov/newsroom/fact-sheets/cy-2026-opps-ambulatory-surgical-center-final-rule-hospital-price-transparency-policy-changes,2025-11-21,Fact Sheets,CY 2026 OPPS and Ambulatory Surgical Center Final Rule - Hospital Price Transparency Policy Changes,Payment Rules; Billing & payments,FALSE,,dc5eb6062f18d070148a6de437cc3fd4239dff59dc1d21a8fe020b33efd4f5e4,57351,2026-08-28
